Labels,Affinity (kcal/mol)
A01B01,-10.2
A01B02,-11.1
A01B03,-11
A01B04,-11.1
A01B05,-10.4
A01B06,-10
A01B07,-10.6
A01B08,-11.3
A01B09,-9.3
A01B10,-11.2
A01B11,-10.7
A01B12,-10.9
A01B13,-9.8
A01B14,-10.3
A01B15,-10.6
A01B16,-9
A01B17,-10.7
A01B18,-11.2
A01B19,-11.1
A01B20,-12
A01B21,-10.1
A01B22,-9.6
A01B23,-11.5
A01B24,-9.8
A01B25,-10.8
A01B26,-11.1
A01B27,-11.1
A01B28,-10.4
A01B29,-10.7
A01B30,-11.4
A01B31,-10.5
A01B32,-9.9
A01B33,-10.7
A01B34,-9.2
A01B35,-9.9
A01B36,-8.9
A01B37,-9.1
A01B38,-9.7
A01B39,-9.1
A01B40,-10.7
A01B41,-10.9
A01B42,-11.6
A01B43,-10.8
A01B44,-10.6
A01B45,-11.1
A01B46,-11
A01B47,-10.8
A01B48,-11.4
A01B49,-9.2
A01B50,-9.6
A02B01,-9.5
A02B02,-9.9
A02B03,-9
A02B04,-9.8
A02B05,-9.7
A02B06,-9.3
A02B07,-9.6
A02B08,-10.4
A02B09,-9
A02B10,-10.1
A02B11,-10
A02B12,-9.5
A02B13,-9.4
A02B14,-9.6
A02B15,-9.7
A02B16,-7.3
A02B17,-9.7
A02B18,-9.9
A02B19,-10
A02B20,-10.9
A02B21,-8.8
A02B22,-7.3
A02B23,-10.4
A02B24,-9.2
A02B25,-10.2
A02B26,-8.3
A02B27,-10.2
A02B28,-9.4
A02B29,-10
A02B30,-10.4
A02B31,-9.6
A02B32,-9.1
A02B33,-9.9
A02B34,-9
A02B35,-9.5
A02B36,-7
A02B37,-7.1
A02B38,-10.2
A02B39,-7.6
A02B40,-9.5
A02B41,-9.7
A02B42,-9.9
A02B43,-10.1
A02B44,-9.7
A02B45,-10.1
A02B46,-9.9
A02B47,-10
A02B48,-10.2
A02B49,-9.3
A02B50,-8.5
A03B01,-10.6
A03B02,-10.7
A03B03,-11.1
A03B04,-11
A03B05,-10.4
A03B06,-9.6
A03B07,-10.6
A03B08,-11.5
A03B09,-9.5
A03B10,-11
A03B11,-10.6
A03B12,-10.6
A03B13,-9.1
A03B14,-10
A03B15,-10.7
A03B16,-9.1
A03B17,-10.3
A03B18,-11.1
A03B19,-10.9
A03B20,-11.4
A03B21,-9.3
A03B22,-9.2
A03B23,-11.3
A03B24,-9.3
A03B25,-10.4
A03B26,-10.5
A03B27,-10.9
A03B28,-10.1
A03B29,-10.3
A03B30,-11.2
A03B31,-9.8
A03B32,-9.5
A03B33,-10.7
A03B34,-9.2
A03B35,-9.5
A03B36,-8.7
A03B37,-9.1
A03B38,-11
A03B39,-9.2
A03B40,-10.3
A03B41,-9.6
A03B42,-11.6
A03B43,-10.6
A03B44,-10.3
A03B45,-10.8
A03B46,-10.3
A03B47,-10.9
A03B48,-11.2
A03B49,-9.7
A03B50,-9.6
A04B01,-9.9
A04B02,-10.3
A04B03,-10.4
A04B04,-10.4
A04B05,-10.4
A04B06,-8.4
A04B07,-10
A04B08,-10.8
A04B09,-7.7
A04B10,-10.5
A04B11,-9.3
A04B12,-10.1
A04B13,-7.8
A04B14,-9.8
A04B15,-9.9
A04B16,-9
A04B17,-9.8
A04B18,-10.4
A04B19,-10.2
A04B20,-10.8
A04B21,-9.7
A04B22,-8.7
A04B23,-10.6
A04B24,-9.2
A04B25,-10.7
A04B26,-10
A04B27,-10.3
A04B28,-9.4
A04B29,-10.5
A04B30,-10.6
A04B31,-9.8
A04B32,-8.3
A04B33,-10.2
A04B34,-9.2
A04B35,-10.2
A04B36,-7.7
A04B37,-8.4
A04B38,-10.2
A04B39,-7.8
A04B40,-9.8
A04B41,-10
A04B42,-11.2
A04B43,-10.2
A04B44,-10.1
A04B45,-10.5
A04B46,-10.1
A04B47,-10.3
A04B48,-10.7
A04B49,-7.8
A04B50,-8
A05B01,-9.4
A05B02,-9.9
A05B03,-9.7
A05B04,-9.7
A05B05,-8.3
A05B06,-8.8
A05B07,-9.4
A05B08,-10.4
A05B09,-8.6
A05B10,-9.9
A05B11,-9.8
A05B12,-9.6
A05B13,-8.5
A05B14,-9.2
A05B15,-9.4
A05B16,-8.4
A05B17,-9.5
A05B18,-9.9
A05B19,-9.8
A05B20,-10.5
A05B21,-8.9
A05B22,-8.5
A05B23,-10.2
A05B24,-8.1
A05B25,-10.1
A05B26,-9.9
A05B27,-9.7
A05B28,-9.1
A05B29,-10.1
A05B30,-9.6
A05B31,-9.2
A05B32,-9.2
A05B33,-9.6
A05B34,-8
A05B35,-9.7
A05B36,-8
A05B37,-7.3
A05B38,-10
A05B39,-7.3
A05B40,-9.5
A05B41,-9.6
A05B42,-9.6
A05B43,-9.4
A05B44,-9.4
A05B45,-9.7
A05B46,-9.4
A05B47,-9.7
A05B48,-10.2
A05B49,-7.3
A05B50,-9.1
A06B01,-9
A06B02,-9.7
A06B03,-10
A06B04,-10.3
A06B05,-9
A06B06,-8.8
A06B07,-9.8
A06B08,-10.6
A06B09,-8.4
A06B10,-10.5
A06B11,-10.4
A06B12,-10.1
A06B13,-9.2
A06B14,-9.7
A06B15,-9.8
A06B16,-9
A06B17,-10
A06B18,-10.5
A06B19,-10.3
A06B20,-11.1
A06B21,-9.8
A06B22,-8.3
A06B23,-10.6
A06B24,-9.1
A06B25,-10.3
A06B26,-10.2
A06B27,-10.2
A06B28,-9.5
A06B29,-10
A06B30,-10.7
A06B31,-9.9
A06B32,-10.1
A06B33,-10
A06B34,-9.3
A06B35,-10
A06B36,-8.1
A06B37,-8.9
A06B38,-10.3
A06B39,-9.2
A06B40,-9.7
A06B41,-10.1
A06B42,-10.9
A06B43,-10.2
A06B44,-9.8
A06B45,-9.8
A06B46,-10.2
A06B47,-9.9
A06B48,-10.1
A06B49,-9.2
A06B50,-9.2
A07B01,-10.1
A07B02,-10.5
A07B03,-10.5
A07B04,-10.7
A07B05,-10.7
A07B06,-10.7
A07B07,-10.7
A07B08,-11.3
A07B09,-8.5
A07B10,-10.8
A07B11,-11.1
A07B12,-10.4
A07B13,-9.8
A07B14,-8.5
A07B15,-10.4
A07B16,-9.6
A07B17,-10.4
A07B18,-10.6
A07B19,-10.5
A07B20,-11.6
A07B21,-8.7
A07B22,-8.7
A07B23,-11
A07B24,-7.4
A07B25,-10.6
A07B26,-10.6
A07B27,-10.4
A07B28,-9.9
A07B29,-10.7
A07B30,-10.7
A07B31,-10
A07B32,-9.7
A07B33,-10.7
A07B34,-7.9
A07B35,-9.1
A07B36,-9.2
A07B37,-8.7
A07B38,-11
A07B39,-9.5
A07B40,-10.4
A07B41,-10.5
A07B42,-10.6
A07B43,-10.2
A07B44,-9.8
A07B45,-10.9
A07B46,-10.8
A07B47,-10.3
A07B48,-10.7
A07B49,-9.6
A07B50,-9.9
A08B01,-10.8
A08B02,-11.3
A08B03,-10.8
A08B04,-11.6
A08B05,-11
A08B06,-10.2
A08B07,-11
A08B08,-11.2
A08B09,-10.5
A08B10,-11.4
A08B11,-11.9
A08B12,-10.9
A08B13,-10.2
A08B14,-10.4
A08B15,-10.7
A08B16,-10
A08B17,-11.3
A08B18,-11.7
A08B19,-11.5
A08B20,-12.4
A08B21,-8.5
A08B22,-10.6
A08B23,-11.7
A08B24,-9.7
A08B25,-11.4
A08B26,-11
A08B27,-11.3
A08B28,-10.5
A08B29,-11.6
A08B30,-11.2
A08B31,-10.6
A08B32,-10.7
A08B33,-11.6
A08B34,-10.8
A08B35,-11.2
A08B36,-9.8
A08B37,-10.1
A08B38,-11.5
A08B39,-10.4
A08B40,-11.2
A08B41,-10.3
A08B42,-11.4
A08B43,-11.8
A08B44,-11.3
A08B45,-11.1
A08B46,-11.3
A08B47,-11.4
A08B48,-11.4
A08B49,-10.4
A08B50,-10.7
A09B01,-10.4
A09B02,-10.3
A09B03,-10.3
A09B04,-10.5
A09B05,-9.1
A09B06,-8.4
A09B07,-10.2
A09B08,-10.9
A09B09,-8
A09B10,-10.4
A09B11,-10.7
A09B12,-10.5
A09B13,-8.1
A09B14,-10.2
A09B15,-10.4
A09B16,-9.6
A09B17,-10.2
A09B18,-10.4
A09B19,-10.6
A09B20,-11.5
A09B21,-9.3
A09B22,-8.2
A09B23,-10.8
A09B24,-8.1
A09B25,-10.9
A09B26,-10.8
A09B27,-10.1
A09B28,-10.1
A09B29,-10.5
A09B30,-11
A09B31,-10.5
A09B32,-10.3
A09B33,-10.3
A09B34,-8.7
A09B35,-8.8
A09B36,-7.5
A09B37,-9.2
A09B38,-10.8
A09B39,-10.4
A09B40,-10.1
A09B41,-10.3
A09B42,-11.2
A09B43,-11
A09B44,-10.6
A09B45,-10.4
A09B46,-10.2
A09B47,-10.2
A09B48,-10.7
A09B49,-9.4
A09B50,-9.8
A10B01,-9.4
A10B02,-10
A10B03,-10
A10B04,-10.3
A10B05,-9.1
A10B06,-8.7
A10B07,-10
A10B08,-10.5
A10B09,-9.1
A10B10,-10.4
A10B11,-10.3
A10B12,-10.3
A10B13,-9.9
A10B14,-9.9
A10B15,-10.4
A10B16,-9.7
A10B17,-10.2
A10B18,-10.2
A10B19,-10.1
A10B20,-10.9
A10B21,-9.1
A10B22,-7.7
A10B23,-10.5
A10B24,-10
A10B25,-10.4
A10B26,-10.3
A10B27,-10.5
A10B28,-9.6
A10B29,-10.1
A10B30,-10.4
A10B31,-7.9
A10B32,-10.1
A10B33,-9.6
A10B34,-9.3
A10B35,-8.6
A10B36,-7.3
A10B37,-7.4
A10B38,-10.2
A10B39,-9.6
A10B40,-9.7
A10B41,-10
A10B42,-10.7
A10B43,-10.7
A10B44,-10.2
A10B45,-9.7
A10B46,-10
A10B47,-9.9
A10B48,-10.4
A10B49,-7.9
A10B50,-7.9
A11B01,-9.8
A11B02,-10.1
A11B03,-10.2
A11B04,-10.2
A11B05,-10
A11B06,-8
A11B07,-9.7
A11B08,-10.9
A11B09,-8.5
A11B10,-10.5
A11B11,-10.3
A11B12,-10.1
A11B13,-9.1
A11B14,-9.5
A11B15,-9.9
A11B16,-6.9
A11B17,-9.9
A11B18,-10.3
A11B19,-10.2
A11B20,-11.2
A11B21,-8.8
A11B22,-8.5
A11B23,-10.7
A11B24,-9
A11B25,-10.5
A11B26,-9.9
A11B27,-10.1
A11B28,-9.6
A11B29,-10.4
A11B30,-10.5
A11B31,-7.3
A11B32,-9.5
A11B33,-10.2
A11B34,-8.7
A11B35,-8.4
A11B36,-8.2
A11B37,-8.8
A11B38,-10.4
A11B39,-9.4
A11B40,-9.8
A11B41,-10.1
A11B42,-11.4
A11B43,-10.3
A11B44,-9.7
A11B45,-10.5
A11B46,-10
A11B47,-10.3
A11B48,-10.5
A11B49,-8.6
A11B50,-8.7
A12B01,-10.3
A12B02,-10.7
A12B03,-10.5
A12B04,-10.6
A12B05,-10.1
A12B06,-9.5
A12B07,-10.4
A12B08,-10.9
A12B09,-8.4
A12B10,-10
A12B11,-10.2
A12B12,-9.9
A12B13,-8
A12B14,-9.1
A12B15,-10.6
A12B16,-8.7
A12B17,-10.5
A12B18,-10.1
A12B19,-10.5
A12B20,-11.7
A12B21,-8.6
A12B22,-9.2
A12B23,-10.7
A12B24,-7.7
A12B25,-10.7
A12B26,-8.8
A12B27,-10.7
A12B28,-9.8
A12B29,-10
A12B30,-10.9
A12B31,-8.7
A12B32,-9.2
A12B33,-10.4
A12B34,-8.7
A12B35,-10
A12B36,-7.9
A12B37,-7.8
A12B38,-10.4
A12B39,-8.9
A12B40,-10.3
A12B41,-10.6
A12B42,-11.4
A12B43,-9.6
A12B44,-10.2
A12B45,-10.9
A12B46,-10.6
A12B47,-10.1
A12B48,-11
A12B49,-9.3
A12B50,-9.1
A13B01,-9.7
A13B02,-10.2
A13B03,-10.3
A13B04,-10.3
A13B05,-10.4
A13B06,-9.8
A13B07,-9.8
A13B08,-10.8
A13B09,-8.6
A13B10,-10.6
A13B11,-10.7
A13B12,-10.2
A13B13,-9.4
A13B14,-9.8
A13B15,-10.1
A13B16,-8.6
A13B17,-10.3
A13B18,-10.3
A13B19,-10.5
A13B20,-11.2
A13B21,-9.1
A13B22,-7.3
A13B23,-10.8
A13B24,-9
A13B25,-10.4
A13B26,-10.2
A13B27,-10.4
A13B28,-9
A13B29,-10.4
A13B30,-10.8
A13B31,-9.6
A13B32,-9.8
A13B33,-9.9
A13B34,-9.3
A13B35,-10
A13B36,-8.6
A13B37,-8.6
A13B38,-10.3
A13B39,-7.4
A13B40,-9.9
A13B41,-10
A13B42,-11.3
A13B43,-10.4
A13B44,-9.8
A13B45,-10.2
A13B46,-9.4
A13B47,-10.4
A13B48,-10.7
A13B49,-6.5
A13B50,-8.7
A14B01,-9.6
A14B02,-10
A14B03,-9.9
A14B04,-9.9
A14B05,-10.2
A14B06,-9.1
A14B07,-9.6
A14B08,-10.4
A14B09,-9
A14B10,-10.1
A14B11,-9.9
A14B12,-9.8
A14B13,-7.7
A14B14,-9.5
A14B15,-9.7
A14B16,-8.8
A14B17,-9.2
A14B18,-9.8
A14B19,-9.8
A14B20,-10.4
A14B21,-9.2
A14B22,-8.3
A14B23,-10.3
A14B24,-9.4
A14B25,-10.1
A14B26,-10.1
A14B27,-10.1
A14B28,-8.3
A14B29,-9.2
A14B30,-10.1
A14B31,-9.8
A14B32,-9.7
A14B33,-9.8
A14B34,-8.9
A14B35,-8.4
A14B36,-8.7
A14B37,-8.8
A14B38,-9.9
A14B39,-7.9
A14B40,-9.7
A14B41,-9.6
A14B42,-10.5
A14B43,-10
A14B44,-9.9
A14B45,-10
A14B46,-9.9
A14B47,-10
A14B48,-10
A14B49,-9
A14B50,-8
A15B01,-9.9
A15B02,-10.5
A15B03,-10.3
A15B04,-10.8
A15B05,-10.8
A15B06,-9.3
A15B07,-10.1
A15B08,-11.1
A15B09,-9.2
A15B10,-10.4
A15B11,-9.4
A15B12,-10.4
A15B13,-9.9
A15B14,-9.9
A15B15,-10.1
A15B16,-9.4
A15B17,-10
A15B18,-9.9
A15B19,-10.2
A15B20,-10.8
A15B21,-9.9
A15B22,-9.1
A15B23,-10.7
A15B24,-9.6
A15B25,-10.9
A15B26,-10.3
A15B27,-10.4
A15B28,-9.5
A15B29,-10.3
A15B30,-10.4
A15B31,-10
A15B32,-9.5
A15B33,-10.1
A15B34,-8.3
A15B35,-9.2
A15B36,-8.4
A15B37,-9.9
A15B38,-9.8
A15B39,-8.9
A15B40,-9.9
A15B41,-10.4
A15B42,-10.9
A15B43,-10
A15B44,-10.3
A15B45,-10.5
A15B46,-10
A15B47,-10.5
A15B48,-10.5
A15B49,-8.2
A15B50,-9.5
A16B01,-9.5
A16B02,-9.4
A16B03,-9.5
A16B04,-9.2
A16B05,-9.3
A16B06,-9.7
A16B07,-10.1
A16B08,-10.1
A16B09,-10.1
A16B10,-10.1
A16B11,-9.8
A16B12,-9.8
A16B13,-8.9
A16B14,-8
A16B15,-8.9
A16B16,-7.1
A16B17,-9.9
A16B18,-9.9
A16B19,-10.2
A16B20,-10.2
A16B21,-10.2
A16B22,-10.2
A16B23,-10.2
A16B24,-8.1
A16B25,-8
A16B26,-9.4
A16B27,-7.2
A16B28,-6.8
A16B29,-10.1
A16B30,-10.6
A16B31,-9.6
A16B32,-9.8
A16B33,-10.1
A16B34,-7.9
A16B35,-7.3
A16B36,-8.5
A16B37,-8.6
A16B38,-10.4
A16B39,-10.4
A16B40,-10
A16B41,-10.1
A16B42,-10.2
A16B43,-10.1
A16B44,-10.1
A16B45,-10.4
A16B46,-10.2
A16B47,-10.1
A16B48,-10.1
A16B49,-7
A16B50,-9
A17B01,-10.1
A17B02,-10.5
A17B03,-9.7
A17B04,-10.6
A17B05,-8.9
A17B06,-9.6
A17B07,-10.2
A17B08,-10.6
A17B09,-9.4
A17B10,-10.4
A17B11,-10.5
A17B12,-10.3
A17B13,-9.4
A17B14,-9.8
A17B15,-10
A17B16,-9.3
A17B17,-10.2
A17B18,-10.6
A17B19,-10.4
A17B20,-10.5
A17B21,-8.9
A17B22,-9.3
A17B23,-10.8
A17B24,-9.8
A17B25,-10.2
A17B26,-9.3
A17B27,-10.2
A17B28,-9.8
A17B29,-10.4
A17B30,-10.5
A17B31,-9.9
A17B32,-10
